Berufsbezeichnung,Jährlicher Durchschnitt Männlich (Brutto),Jährlicher Durchschnitt Weiblich (Brutto),Diskrepanz
Kunststofftechnologe/in,66143.08,51600,-14543.08
Industriearbeiter/in,60531.69,46015.38,-14516.31
Filialleiter/in,75727.69,61221.24,-14506.45
Financial Controller/in,110550.77,96051.28,-14499.49
Management Consultant,139478.21,125000,-14478.21
Primarlehrer/in,92367.19,78064.69,-14302.5
Supervisor/in,81461.54,67300,-14161.54
Elektroplaner/in,67365.38,53415.38,-13950
Finanzbuchhalter/in,99186.42,85349.47,-13836.95
Leiter/in IT Sicherheit,124500,110769.23,-13730.77
Baukostenplaner/in,117547.25,103846.15,-13701.1
Abteilungsleiter/in Gastronomie,83815.38,70223.08,-13592.3
Medizinisch-technische/r Assistent/in,76800,63245.34,-13554.66
Sales Manager/in,100239.33,86778.38,-13460.95
Qualitätsprüfer/in,70183.13,56802.18,-13380.95
Augenoptikermeister/in,82435.91,69205.13,-13230.78
SEO Manager/in,98170.94,85000,-13170.94
Lagerleiter/in,67324.85,54263.54,-13061.31
Leiter/in Kommunikation,116362.82,103333.27,-13029.55
Anlagenbauer/in,70581.82,57600,-12981.82
Kommissionierer/in,52419.46,39461.54,-12957.92
Chemiker/in,98356.53,85540,-12816.53
Junior Consultant,89698.6,76884.62,-12813.98
Compliance Manager/in,101833.33,89087.69,-12745.64
Business Development Manager/in,118259.76,105646.15,-12613.61
Laborleiter/in,106730.31,94215.38,-12514.93
Heilpädagoge/in,103110.26,90646.15,-12464.11
Messtechniker/in,69971.74,57600,-12371.74
Facharzt/ärztin,139971.66,127603.55,-12368.11
Kalkulator/in,79468.27,67200,-12268.27
Regionalleiter/in,114341.88,102076.92,-12264.96
Junior Key Account Manager/in,72138.46,60000,-12138.46
Oberarzt/ärztin,125935.18,113820.17,-12115.01
Application-Manager/in,103401.1,91384.62,-12016.48
Leiter/in Projektmanagement,129476.92,117673.08,-11803.84
Psychologe/in,97473.08,85719.69,-11753.39
Feinwerkmechaniker/in,58269.23,46523.08,-11746.15
