Berufsbezeichnung,Jährlicher Durchschnitt Männlich (Brutto),Jährlicher Durchschnitt Weiblich (Brutto),Diskrepanz
Pilot/in (Captain),150519.23,152222.22,1702.98999999999
Flugbegleiter/in,43931.92,45646.15,1714.23
Chemielaborant/in,68323.06,70096.37,1773.31
Leiter/in Krippe,74400,76253.85,1853.85000000001
Servicetechniker/in,71951.63,73846.15,1894.51999999999
Osteopath/in,38076.92,40000,1923.08
Technische/r Assistent/in der Zentralsterilisation,54783.93,56708.92,1924.99
Gipser/in,63224.99,65169.23,1944.24000000001
Makler/in,61993.85,63961.54,1967.69
Schadenregulierer/in,67714.87,69784.62,2069.75
Koch/Köchin,57305.82,59412.31,2106.49
Tontechniker/in,57846.67,60000,2153.33
Restaurator/in,55572.31,57753.85,2181.54
Baumaschinenführer/in,66215.33,68400,2184.67
Chef de Bar,52115.38,54323.08,2207.7
Übersetzer/in,66203.08,68423.41,2220.33
Wirtschaftsprüfer/in,111878.54,114102.56,2224.02
Haushaltshilfe,33969.23,36245.8,2276.57
Kellner/in,45820.93,48222.49,2401.56
Mitarbeiter/in Qualitätsmanagement,73656.92,76069.23,2412.31
General Manager/in Hotellerie,107307.69,109846.15,2538.45999999999
Aushilfe,35940.06,38587.69,2647.63
Junior Projektleiter/in,76011.19,78675,2663.81
Projektleiter/in,91694.93,94418.13,2723.20000000001
Wildhüter/in,55384.62,58153.85,2769.23
Korrektor/in,70153.85,72923.08,2769.23
Leiter/in Administration,80895.08,83695.38,2800.3
Wirtschaftsingenieur/in,100186.92,103269.23,3082.31
Verwaltungsassistent/in,68130.92,71225.17,3094.25
Projektassistent/in,59692.31,62807.69,3115.38
IT Controller/in,93410.77,96538.46,3127.69
Metallbauermeister/in,78444.23,81600,3155.77
Anwaltsassistent/in,62769.23,65949.6,3180.37
Sachbearbeiter/in Buchhaltung,64096.43,67282.77,3186.34
LKW Fahrer/in,58809.51,62041.03,3231.52
Jurist/in,95767,99115.38,3348.38
Vertriebsleiter/in,160589.79,164000,3410.20999999999
Lichtplaner/in,92769.23,96230.77,3461.54000000001
Musiklehrer/in,73846.15,77538.46,3692.31000000001
Applikationsingenieur/in,91564.1,95276.92,3712.81999999999
Teamleiter/in Callcenter,76796.5,80596.15,3799.64999999999
Landwirt/in,46184.11,50153.85,3969.74
Notar/in,92123.08,96156.86,4033.78
Sachbearbeiter/in Kreditoren,56100,60251.54,4151.54
Hotelfachfrau/mann,43875.38,48071.21,4195.83
IT Systemspezialist/in,101822.68,106046.15,4223.47
Drucker/in,62803.85,67041.76,4237.91
Heimleiter/in,127017.75,131261.54,4243.79000000001
Finance Direktor/in,173774.04,178379.12,4605.07999999999
Gleisbauer/in,58084.1,62695.38,4611.28
Zoofachverkäufer/in,42924.46,47653.85,4729.39
Heilerziehungspfleger/in,55235.38,60000,4764.62
Wirtschaftsinformatiker/in,100838.37,105615.38,4777.01000000001
Senior Network Engineer,113357.69,118153.85,4796.16
Business Travel Consultant,64800,69600,4800
Zweiradmechaniker/in,47995.38,52800,4804.62
Leiter/in Innendienst,87184.03,92053.85,4869.82000000001
Facility Manager/in,92999.84,98292.31,5292.47
Vertriebsmitarbeiter/in,75037.18,80333.33,5296.15000000001
Assistent/in Treuhand,60830.77,66146.46,5315.69000000001
Finanzbeamter/in,99991.38,105338.46,5347.08
Wissenschaftler/in,84481.98,89979.69,5497.71000000001
Sachbearbeiter/in Sozialversicherung,53784,59436.92,5652.92
Eventmanager/in,76218.74,82019.49,5800.75
Procurement Manager/in,108923.08,114794.87,5871.78999999999
Mechaniker/in,65107.76,71076.92,5969.16
Ökonom/in,108435.9,114435.9,6000
Montageleiter/in,95906.54,102000,6093.46000000001
Fahrzeugaufbereiter/in,42603.23,48738.46,6135.23
Studienleiter/in,100615.38,106823.08,6207.7
Schreiner/in,64642.46,70854.28,6211.82
Facharzt/-ärztin Psychiatrie,139673.08,146030.77,6357.69
Scrum Master/in,119525.64,125907.69,6382.05
OP Schwester,77038.46,83542.53,6504.06999999999
Putzhilfe,37538.46,44082.4,6543.94
Agrarwissenschaftler/in,78038.46,84923.08,6884.62
Tax Analyst/in,80000,87000,7000
Konstrukteur/in,71644.31,78738.46,7094.15000000001
Datenbank Manager/in,85815.38,92921.15,7105.76999999999
Schlosser/in,66119.74,73846.15,7726.40999999999
Elektrozeichner/in,55138.46,63000,7861.54
Schulleiter/in,131518.46,139384.62,7866.16
Softwareberater/in,92863.74,100800,7936.26
Personalberater/in,71522.05,79496.11,7974.06
Junior Sales Manager/in,75553.85,83653.85,8100
Reiseberater/in,48984.62,57250.55,8265.93
Customer Relationship Manager/in,119051.28,127384.62,8333.34
Informatiker/in,80470.11,88968.97,8498.86
Vorstandsassistent/in,67615.38,76167.31,8551.92999999999
3D Artist/in,58769.23,67461.54,8692.30999999999
Ressortleiter/in,92307.69,101076.92,8769.23
Elektroingenieur/in,91826.86,100760,8933.14
Kranführer/in,67623.35,76615.38,8992.03
Eingliederungsberater/in,86950.77,96000,9049.23
Klinikleiter/in,120000,129230.77,9230.77
Forstwirt/in,65882.52,75335.54,9453.01999999999
Automatiker/in,63927.3,73409.08,9481.78
Empfangsmitarbeiter/in,50540,60063.72,9523.72
Junior IT Projektleiter/in,74353.85,84000,9646.14999999999
Entwickler/in,92323.08,102018.46,9695.38000000001
IT Supporter/in,78785.88,88545.6,9759.72
Personalvermittler/in,83846.15,93615.38,9769.23000000001
Pädagoge/Pädagogin,62500,72333.33,9833.33
Berufsberater/in,79648.35,89594.31,9945.95999999999
Sachbearbeiter/in Finanzen,58388.77,68457.58,10068.81
Geoinformatiker/in,68169.23,78360,10190.77
Hotelier,104609.23,115015.38,10406.15
Ausbildungsleiter/in,110769.23,121384.62,10615.39
Operationstechnische/r Assistent/in,72323.08,82993.23,10670.15
Key Account Manager/in,122078.01,132990,10911.99
Hauswirtschaftsleiter/in,45036,56024.62,10988.62
Planer/in,100227.49,111384.62,11157.13
Wachmann/frau Alarmzentrale,67153.85,78461.54,11307.69
Leiter/in Hochbau,103804.62,115200,11395.38
Verfahrenstechniker/in,85458.85,96923.08,11464.23
Erntehelfer/in,42000,53584.62,11584.62
Psychotherapeut/in,70246.62,82168.62,11922
Sanitärinstallateur/in,63425.63,75552,12126.37
Professor/in,155224.54,167769.23,12544.69
Health Econimist Manager/in,93153.85,105730.77,12576.92
Sporttherapeut/in,73269.23,85846.15,12576.92
Ernährungsberater/in,57692.31,70457.08,12764.77
Lebensmittelingenieur/in,83047.91,96192.31,13144.4
Junior Account Manager/in,64673.08,78123.08,13450
Sachverständiger/in technischer Dienst,75000,88615.38,13615.38
HSE Manager/in,170769.23,184615.38,13846.15
Praxisassistent/in,48000,61955.79,13955.79
Malermeister/in,74694.9,89307.69,14612.79
Leiter/in Finanzen,230518.22,245142.86,14624.64
OP-Manager/in,98400,113190.77,14790.77
Assistent/in Rechnungswesen,49200,64001.03,14801.03
Einrichtungsberater/in,66897.44,81784.62,14887.18
Digital Channel Manager/in,87000,102000,15000
Psychologische/r Psychotherapeut/in,76461.54,92431.45,15969.91
Biologe/in,80426.92,96414.23,15987.31
Investor Relations Manager,140769.23,156923.08,16153.85
Systemingenieur/in,97224.81,113538.46,16313.65
Energie Berater/in,94098.46,110769.23,16670.77
Mediaplaner/in,66919.38,84218.46,17299.08
Online-Redakteur/in,62300,80000,17700
Fachkraft Arbeitssicherheit,81876.92,99692.31,17815.39
Content Manager/in,62300,80365.38,18065.38
Qualitätsexperte/in,78846.15,98102.56,19256.41
HR Fachfrau/mann,64800,84255.69,19455.69
Grundbauer/in,60000,80034,20034
Marktleiter/in,77564.88,97846.15,20281.27
Telefonist/in,27692.31,48000,20307.69
Bootswart,57000,78461.54,21461.54
PR Manager/in,82461.54,103999.38,21537.84
Barkellner/in,13615.38,36000,22384.62
Hochschullehrer/in,133846.15,156996.46,23150.31
Hochbaufacharbeiter/in,60923.08,84200,23276.92
Projektmanager/in Pharma,108343.2,131769.23,23426.03
Inside Sales Manager/in,69969.23,94153.85,24184.62
Credit & Risk Manager/in,103557.69,128000,24442.31
Absatzplaner/in,79590.81,107076.92,27486.11
Pharmaberater/in,131923.08,160000,28076.92
Netzwerkbetreuer/in,80572.31,108923.08,28350.77
Strategieberater/in,92307.69,125000,32692.31
Deklarant/in,60600,94153.85,33553.85
Marketing Manager/in,111025.64,149781.06,38755.42
CTO,174138.46,217846.15,43707.69
Anwendungstechniker/in,75359.76,120000,44640.24
Abfalltechniker/in,52000,,
Abgeordnete/r,70000,,
Abkanter/in,62632.21,,
Abteilungsleiter/in Energie,96000,,
Abteilungsleiter/in Heizung,105970.51,,
Abteilungsleiter/in Karosserie,71538.46,,
AdManager,94615.38,,
Amtsvormund,93553.85,,
Anlage- und Apparatebauer/in,59744.75,,
Anlageoparator/in,66767.18,,
Anzeigenberater/in,70000,,
Arbeitsvorbereiter/in,76688.46,,
Architektmodellbauer/in,92307.69,,
Artist/in,92307.69,,
Artwork Coordinator,103000,,
Asbestsanierer/in,65307.69,,
Asphaltierer/in,64615.38,,
Astrophysiker/in,116307.69,,
Aufzugsmonteur/in,59400,,
Aufzugstechniker/in,76923.08,,
Ausbilder/in,94812.66,,
Automatentechniker/in,64421.41,,
Automatisierer/in,76601.54,,
Automatisierungstechniker/in,77676.92,,
Automobilmechatroniker/in,62027.43,,
Bankkaufmann/Bankkauffrau in Ausbildung,15000,,
Bauarbeiter/in,59766.43,,
Bauhelfer/in,39674.73,,
Baumaschinenmechaniker/in,65389.2,,
Baustellenleiter/in,83076.92,,
Baustoffprüfer/in,65446.15,,
Bautechniker/in,74200,,
Bauwerksabdichter/in,80000,,
Beamter/in Zolldienst,71550,,
Beleuchter/in Bühne,27692.31,,
Berufssportler/in,91538.46,,
Betontechnologe/in,86769.23,,
Betriebselektriker/in,70429.77,,
Binnenschiffer/in,72000,,
Bioinformatiker/in,113365.38,,
Bootsbauer/in,68418.03,,
Börsenhändler/in,292615.38,,
Brauer- und Mälzermeister/in,76663.08,,
Brigadekommandant,198461.54,,
Brunnenmeister/in,76711.54,,
Buchprüfer/in,64615.38,,
Cargo Duty Officer,50153.85,,
CEO,612655.38,,
CGL,110769.23,,
Chef Stewardess/Steward,60000,,
Colorist/in,87000,,
Commis de Rang,48415.38,,
Concierge,57115.38,,
Contractmanager/in,102000,,
COO,190678.32,,
Creative Director/in,132442.31,,
Credit Officer,91846.15,,
Demi Chef de Partie,53439.16,,
Desinfektor/in,72000,,
DevOps Engineer/in,124000,,
Diagnostiker/in,69876.92,,
Dramaturg/in,80307.69,,
Dreher/in,75919.23,,
Elektromechaniker/in,75838.95,,
Elektroniker/in EFZ,70363.23,,
Elektrotechniker/in,68060.29,,
Entroster/in,50400,,
Entwässerungstechnologe/-login,64984.62,,
Ermittler/in Versicherung,109846.15,,
Erodierer/in,66461.54,,
F&E Manager/in,185538.46,,
Fachwirt/in - Energie,84230.77,,
Fahrlehrer/in,95576.92,,
Fahrleitungsmonteur/in,68111.54,,
Fahrzeugelektriker/in,56432.31,,
Fassadenisoleur/in,63568.35,,
Fensterbauer/in,57784.62,,
Fertigungsplaner/in,74110.77,,
Feuerwehrmann,67846.15,,
Fischverarbeiter/in,7384.62,,
Flachdachdecker/in,64099.73,,
Fleischzerleger/in,56076.92,,
Flexodrucker/in,61261.54,,
Fluggerätemechaniker/in,68015.38,,
Fluglehrer/in,81600,,
Flugverkehrsleiter/in,189230.77,,
Flugzeug Elektroniker/in,61230.77,,
Flugzeug Mechaniker/in,73092.31,,
Forscher/in,86984.62,,
Fotomodell,184615.38,,
Gabelstaplerfahrer/in,57354.87,,
Galvaniseur/in,69805.13,,
Gebietsleiter/in,133292.31,,
Gemeindereferent/in,72000,,
Geograph/in,90673.08,,
Gerichtsschreiber/in,102000,,
Getränkelieferant/in,44184.62,,
Gießereimechaniker/in,66830.77,,
Glasbläser/in,82464.62,,
Global Category Spezialist/in,124576.92,,
Glockengießer/in,70000,,
Graveur/in,79038.46,,
Gruppenleiter/in Produktion,80852.31,,
Gussformer/in,53630.77,,
Hardwareentwickler/in,74000,,
Hauptabteilungsleiter/in,168807.69,,
Head of Sales,170093.41,,
Heizungsbauer/in,58615.38,,
Heizungsplaner/in,63494.51,,
Helfer/in Hochbau,48000,,
Holzbauingenieur/in,77538.46,,
Holzingenieur/in,82101.54,,
Hufbeschlagschmied/in,52800,,
Hundetrainer/in,29000,,
ICT Consultant,107123.08,,
Illustrator/in,80307.69,,
Industriebäcker/in,80000,,
Industriemechaniker/in,71907.38,,
Industriemeister/in Chemie,92307.69,,
Industriemeister/in Gießerei,67234.62,,
Industriemeister/in Kunststoff,55384.62,,
Industriemeister/in Maschinenbau,81837.69,,
Industriemeister/in Metall,79661.54,,
Instandhaltungstechniker/in,64958.65,,
Interne Revision,103970.94,,
Intraday-Manager/in,64615.38,,
Investment Analyst/in,122086.54,,
Investment Banker/in,132307.69,,
Investmentberater/in,233846.15,,
Isolierspengler/in,66995.02,,
IT Desktop Analyst/in,85333.33,,
IT Direktor/in,186708.79,,
IT Sicherheitstechniker/in,138461.54,,
IT-System-Elektroniker/in,72843.08,,
Java Enterprise Architekt/in,134021.05,,
Java Entwickler/in,101200,,
Junior Marketing Manager/in,92307.69,,
Junior Sales Engineer,78461.54,,
Justizvollzugsbeamte/in,69692.31,,
Kältetechniker/in,69265.24,,
Kameratechniker/in,68000,,
Kanalreiniger/in,62019.23,,
Kardiotechniker/in,84000,,
Karosserie Spengler/in,61723.08,,
Karriereberater/in,105692.31,,
KFZ Aufbereiter/in,45415.38,,
KFZ Diagnostiker/in,47073.85,,
KFZ Händler/in,61800,,
Konstruktion Manager/in,88153.85,,
Kostümbildner/in,74400,,
Küchenmonteur/in,64553.85,,
Kühlanlagentechniker/in,83076.92,,
Kunsttherapeut/in,61250,,
Lackierer/in,62317.31,,
Ladendetektiv/in,54000,,
Landmaschinenmechaniker/in,58612.31,,
Lebensmittelkontrolleur/in,76307.69,,
Lebensmitteltechnische/r Assistent/in,10153.85,,
Leiter Softwareentwicklung,132307.69,,
Leiter/in Alarmzentrale,51046.15,,
Leiter/in Arbeitsvorbereitung,88709.23,,
Leiter/in Catering,64615.38,,
Leiter/in Fertigung,109846.15,,
Leiter/in Informatik,134569.14,,
Leiter/in Poststelle,80492.31,,
Leiter/in Qualitätssicherung,105533.85,,
Leiter/in Sicherungssysteme,138461.54,,
Leiter/in Zweigstelle,72000,,
Liftmonteur/in,64162.81,,
LKW Händler/in,65000,,
LKW-Mechaniker/in,65123.08,,
Lohnsachbearbeiter/in,78000,,
Luftfahrzeugmechaniker/in,70560,,
Lüftungsmonteur/in,61422.8,,
Management Trainee,73846.15,,
Marktforscher/in,76153.85,,
Maschinenbautechniker/in,72310.16,,
Maschineneinrichter/in,62138.46,,
Maschinenmonteur/in,65688.21,,
Mathematiker/in,126025,,
Matrose,24615.38,,
Mechatroniker/in,63947.93,,
Mechatroniker/in Kältetechnik,61538.46,,
Medienberater/in,69230.77,,
Medizinische/r Direktor/in,150000,,
Medizinische/r Dokumentator/in,92307.69,,
Medizinische/r Präparationsassistent/in,64246.15,,
Meister/in Landschaftsbau,75000,,
Messingenieur/in,75000,,
Metallbauer/in,61236.33,,
Metallblasinstrumentenmacher/in,48000,,
Meteorologe/Meteorologin,68000,,
Metzgermeister/in,70331.19,,
Mitarbeiter/in Alarmzentrale,55200,,
Mitarbeiter/in Käserei,62800,,
Mitarbeiter/in Sicherheit,62500,,
Mitarbeiter/in Versand,57000,,
Möbelmonteur/in,56873.85,,
Molkereimeister/in,60000,,
Museumsleiter/in,61846.15,,
Musiker/in,81721.85,,
Musikschulleiter/in,122769.23,,
Netzelektriker/in,62272.65,,
Niederlassungsleiter/in,125000,,
Night-Auditor,47876.92,,
Oberbauleiter/in,100984.62,,
Oberflächenbeschichter/in,56030.77,,
Oenologe/-login,78000,,
Ofenbauer/in,64666.67,,
Offsetdrucker/in,70595.6,,
Orgelbauer/in,61750,,
Orthopädietechnik-Mechaniker/in,71254.7,,
Packaging Manager/in,83076.92,,
Paketzusteller/in,54185.64,,
Papiertechnologe,72230.77,,
Parkettleger/in,63682.46,,
Pastor/in,126461.54,,
Personenschützer/in,184615.38,,
Pfarrer/in,87601.54,,
Pizzabäcker/in,43571.15,,
Pizzakurier,44861.54,,
Podologyst/in,64615.38,,
Polsterer/Polsterin,58438.46,,
Polybauer/in,57515.38,,
Portier,42451.48,,
Produktionshelfer/in Fensterbau,55384.62,,
Programmierer/in,78608.79,,
Projektleiter/in Baugewerbe,102883.85,,
Projektleiter/in Ladenbau,78461.54,,
Projektleiter/in Lüftung,73619.58,,
Projektleiter/in Maschinenbau,80624.18,,
Projektleiter/in Messebau,84000,,
Projektleiter/in Photovoltaik,67508.33,,
Prozesstechniker/in,69000,,
Psychometriker/in,60000,,
Pyrotechniker/in,70954.15,,
Recyclist/in,53881.74,,
Rehatechniker/in,76661.54,,
Rental Car Agent/in,46153.85,,
Rohstoffhändler/in,133846.15,,
Rollladen- und Sonnenschutzmechatroniker/in,64000,,
Sänger/in,44307.69,,
Saug-Baggerführer/in,63500,,
Schädlingsbekämpfer/in,60793.85,,
Schaler/in,72302.56,,
Schauspieler/in,78000,,
Schiedsrichter/in Fußball,120000,,
Schiffsmechaniker/in,60000,,
Schleifer/in,62437.36,,
Schornsteinfeger/in,55076.92,,
Schweisser/in,66051.94,,
Screendesigner/in,53692.31,,
Seelsorger/in,125384.62,,
Seilbahnmechatroniker/in,57225.23,,
Senior Auditor,87338.46,,
Senior Kreditmanager/in,124615.38,,
Senior Lean Projektmanager/in,107671.79,,
Senior System Engineer,99752.99,,
Sicherheitsangestellte/r,60293.06,,
Sicherheitschef/in,115987.69,,
Side Manager/in,92307.69,,
Skilehrer/in,51250,,
Solarmonteur/in,56661.54,,
Soldat/in,59000,,
Spleisser/in,65598.97,,
Sportlehrer/in,80230.77,,
Sportmanager/in,99692.31,,
Sportwissenschaftler/in,60000,,
Sprechstundenhilfe,49384.62,,
SPS Programmierer/in,70632.17,,
Stadtschreiber/in,85230.77,,
Stahlbauplaner/in,147692.31,,
Stahlbauschlosser/in,66560.07,,
Staplerfahrer/in,53432.69,,
Statiker/in,83057.69,,
Steinmetz/in,55384.62,,
Steuerungstechniker/in,90068.13,,
Strahlenschutzbeauftragte/r,102000,,
Strahlenschutzbeauftragte/r,80400,,
Straßenbahnfahrer/in,60083.85,,
Straßenbauer/in,63663.31,,
Stuckateur/in,66923.08,,
Supplier Quality Engineer,97863.31,,
Support Manager/in,118256.41,,
Systemadministrator/in,86723.08,,
Systementwickler/in,104215.38,,
Tanklagermitarbeiter/in,72000,,
Tankwart/in,42200,,
Teamleiter/in SAP,99276.92,,
Teamleiter/in Verkauf,89126.77,,
Techniker/in Holzbau,72126.37,,
Techniker/in Hygiene,70615.38,,
Technische/r Angestellte/r,74525.17,,
Technische/r Leiter/in,93531.08,,
Technische/r Manager/in,132711.54,,
Telematiker/in,71005.03,,
Tennislehrer/in,46153.85,,
Tiefbauer/in,60079.87,,
Tiefdrucker/in,68153.85,,
Tischlermeister/in,33230.77,,
Triebwerkmechaniker/in,49846.15,,
Umzugshelfer/in,52527,,
Unteroffizier,80769.23,,
UX/UI Designer/in,95000,,
Verfahrensmechaniker/in,71052.99,,
Verfuger/in,52000,,
Verkaufstrainer/in,92307.69,,
Verkehrsleiter/in Eisenbahn,57292.31,,
Vermögensberater/in,112432.69,,
Versicherungsmathematiker/in,106892.31,,
Versorgungstechniker/in,71538.46,,
Vertriebsingenieur/in,99875.13,,
Video-Redakteur/in,64769.23,,
Visualisierer/in,66923.08,,
Vorarbeiter/in,70398.92,,
Vorfeldmitarbeiter/in,46153.85,,
Wachdienstmitarbeiter/in,64615.38,,
Waldarbeiter/in,46153.85,,
Werkstattleiter/in,77119.06,,
Werkstoffprüfer/in,82636.92,,
Wertpapierhändler/in,193500,,
Wirtschaftsanwalt/Wirtschaftsanwältin,370296.92,,
Wirtschaftswissenschaftler/in,106000,,
Yogalehrer/in,65000,,
Zerspanungsmechaniker/in,67717.87,,
